LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,142.6605,
USA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,626.174,
USA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,625.9,
USA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,641.327,
USA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,644.327,
USA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,630.304,
USA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,630.589,
USA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,627.091,
USA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,609.546,
USA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,592.373,
USA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,506.861,
USA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,600.391,
USA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,636.935,
USA,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,670.629,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,18.38749,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,17.18883,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,16.14872,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,13.75696,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,13.30271,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,12.49735,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,12.35014,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,10.97381,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,10.58181,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,8.972828,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,10.21302,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,12.58634,
ARG,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,13.99555,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,43.27899,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,43.43621,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,48.62245,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,45.54645,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,42.90512,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,43.88596,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,46.61531,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,43.15456,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,45.40149,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,35.13136,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,34.3105,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,43.53363,
BRA,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,48.39446,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,526.6837,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,548.662,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,555.1991,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,501.7577,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,514.5709,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,536.125,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,511.2382,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,514.0021,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,494.7747,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,489.0829,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,524.0446,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,536.3764,
CHN,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,638.4833,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,45.37124,
